216,Africa,1
221,Asia,1
230,Asia,1
670,Asia,1
686,Asia,1
688,Asia,1
693,Asia,1
760,Asia,1
772,Asia,1
774,Asia,1
793,Asia,1
832,Asia,1
847,Asia,1
886,Asia,1
894,Asia,1
913,Asia,1
967,Asia,1
1011,Asia,1
1030,Asia,1
1031,Asia,1
1041,Asia,1
1108,Asia,1
1112,Asia,1
1116,Africa,1
1142,Africa,1
1186,Africa,1
1243,Africa,1
1255,Africa,1
1328,Africa,1
1373,Africa,1
1412,Africa,1
1441,Africa,1
1545,Africa,1
1655,Africa,1
1769,Africa,1
1841,Africa,1
1866,Africa,1
1934,Africa,1
2009,Africa,1
2087,Africa,1
2109,Asia,1
2151,Asia,1
2263,Asia,1
2271,Asia,1
2287,Asia,1
2305,Asia,1
2344,Asia,1
2358,Asia,1
2359,Asia,1
2374,Asia,1
2404,Asia,1
2459,Asia,1
2485,Asia,1
2542,Asia,1
2569,Asia,1
2627,Asia,1
2660,Asia,1
2672,Asia,1
2765,Asia,1
2843,Asia,1
2866,Asia,1
2976,Asia,1
3011,Asia,1
3057,Asia,1
3074,Asia,1
3089,Asia,1
3145,Asia,1
3184,Asia,1
3495,Asia,1
3562,Asia,1
3588,Asia,1
3672,Asia,1
3718,Asia,1
3764,Asia,1
3814,Asia,1
3830,Asia,1
3856,Asia,1
3860,Asia,1
3876,Asia,1
3922,Asia,1
3924,Asia,1
3926,Asia,1
3966,Asia,1
3985,Asia,1
4001,Asia,1
4018,Asia,1
4038,Asia,1
4042,Asia,1
4043,Asia,1
4048,Asia,1
4208,Asia,1
4270,Asia,1
4347,Asia,1
4376,Asia,1
4566,Asia,1
4595,Asia,1
4603,Asia,1
4611,Asia,1
4613,Asia,1
4866,Asia,1
4894,Asia,1
4920,Asia,1
4942,Asia,1
4962,Asia,1
4969,Asia,1
5006,Africa,1
5032,Africa,1
5076,Africa,1
5082,Africa,1
5111,Africa,1
5140,Africa,1
5144,Africa,1
5167,Africa,1
5237,Africa,1
5256,Africa,1
5260,Africa,1
5263,Africa,1
5355,Africa,1
5392,Africa,1
5485,Africa,1
